,0
0,1.0
1,1.0
2,-0.5787893946973487
3,0.7238619309654828
4,1.0
5,0.6158079039519759
6,-1.0
7,1.0
8,0.39569784892446225
9,-0.7898949474737369
10,1.0
11,0.5267633816908455
12,1.0
13,-0.4427213606803402
14,-0.1485742871435718
15,-0.6528264132066033
16,-1.0
17,0.11755877938969483
18,-1.0
19,0.021510755377688984
20,0.8079039519759881
21,-1.0
22,1.0
23,-1.0
24,-0.3806903451725864
25,-0.6458229114557279
26,0.8939469734867433
27,0.02851425712856437
28,-0.2136068034017009
29,-1.0
30,-0.5217608804402201
31,0.3716858429214607
32,0.19759879939969993
33,-0.40470235117558784
34,-0.279639819909955
35,0.06553276638319172
36,0.4347173586793398
37,-1.0
38,-0.6468234117058529
39,-0.25062531265632826
40,1.0
41,0.3576788394197099
42,-1.0
43,1.0
44,1.0
45,-0.6008004002001001
46,0.969984992496248
47,0.5397698849424712
48,1.0
49,-1.0
50,1.0
51,0.38669334667333666
52,-1.0
53,-1.0
54,0.5867933966983492
55,-1.0
56,0.9739869934967484
57,-1.0
58,-0.7828914457228615
59,1.0
60,0.5957978989494748
61,1.0
62,-1.0
63,1.0
64,-0.39169584792396206
65,-0.6718359179589795
66,-1.0
67,0.9169584792396197
68,-1.0
69,-1.0
70,0.7828914457228615
71,-1.0
72,-0.15757878939469738
73,1.0
74,1.0
75,1.0
76,-1.0
77,-0.11655827913956984
78,0.968984492246123
79,-1.0
80,-0.6538269134567284
81,-1.0
82,-1.0
83,-0.32966483241620814
84,1.0
85,-1.0
86,0.7598799399699849
87,0.8519259629814908
88,-0.09254627313656838
89,1.0
90,1.0
91,-0.7158579289644822
92,-0.15857928964482249
93,0.7888944472236119
94,1.0
95,-1.0
96,-1.0
97,0.9769884942471236
98,-1.0
99,1.0
100,-1.0
101,-1.0
102,0.5617808904452226
103,1.0
104,1.0
105,-1.0
106,0.7378689344672336
107,0.40970485242621324
108,-0.696848424212106
109,1.0
110,1.0
111,-0.9609804902451226
112,-1.0
113,0.3616808404202101
114,0.46773386693346675
115,1.0
116,-1.0
117,0.7328664332166084
118,-0.9729864932466233
119,0.7008504252126064
120,1.0
121,-0.26963481740870443
122,-1.0
123,1.0
124,-1.0
125,0.031515757878939565
126,-1.0
127,-0.8469234617308654
128,-0.5327663831915959
129,0.7678839419709855
130,1.0
131,-0.06153076538269142
132,-1.0
133,-1.0
134,1.0
135,0.32366183091545775
136,-1.0
137,-0.9419709854927464
138,1.0
139,1.0
140,-1.0
